round,score,avg_score_200,reward,avg_reward_200,coins,kills,suicides,crates_destroyed,alive_fraction
451,10,1.83,544.7,307.01,5,1,0,28,1
452,1,1.83,492.0,308.96,1,0,0,20,1
453,8,1.87,598.9,310.71,3,1,0,28,1
454,0,1.86,45.5,310.86,0,0,1,17,0
455,0,1.86,403.6,312.15,0,0,0,24,0
456,5,1.88,258.7,312.5,0,1,1,25,0
457,1,1.88,171.9,311.01,1,0,0,20,0
458,1,1.88,161.7,310.25,1,0,1,16,0
459,2,1.86,386.7,309.85,2,0,0,31,0
460,0,1.86,118.4,309.63,0,0,0,22,0
461,2,1.87,284.3,310.82,2,0,0,24,0
462,2,1.87,523.8,311.87,2,0,0,35,1
463,3,1.89,424.5,313.64,3,0,1,37,0
464,0,1.86,-56.8,310.14,0,0,1,8,0
465,2,1.88,202.9,311.23,2,0,1,22,0
466,0,1.86,96.5,310.97,0,0,1,21,0
467,8,1.91,377.7,311.65,3,1,0,21,0
468,0,1.9,232.2,312.25,0,0,1,25,0
469,0,1.9,365.1,313.71,0,0,0,37,0
470,1,1.9,305.8,314.81,1,0,0,26,0
471,1,1.9,207.2,313.86,1,0,0,23,0
472,1,1.89,610.5,314.98,1,0,0,38,1
473,2,1.9,550.2,315.82,2,0,0,29,1
474,0,1.87,495.8,316.08,0,0,0,29,1
475,1,1.88,9.0,313.39,1,0,1,10,0
476,2,1.88,673.1,314.22,2,0,0,41,1
477,5,1.91,395.1,315.31,0,1,0,18,0
478,5,1.9,149.8,313.63,0,1,1,16,0
479,1,1.91,249.4,314.53,1,0,0,23,0
480,1,1.9,156.8,313.11,1,0,1,20,0
481,7,1.93,579.3,313.31,2,1,0,43,1
482,2,1.93,384.7,311.85,2,0,0,26,1
483,0,1.92,-37.4,309.01,0,0,1,11,0
484,1,1.91,141.6,309.15,1,0,0,18,0
485,2,1.92,273.9,308.93,2,0,1,24,0
486,1,1.91,370.4,308.04,1,0,0,17,1
487,3,1.92,209.2,308.05,3,0,0,24,0
488,1,1.92,178.2,308.1,1,0,0,24,0
489,1,1.92,358.1,309.23,1,0,0,24,1
490,1,1.91,255.3,310.22,1,0,0,25,0
491,1,1.91,577.6,312.05,1,0,0,31,1
492,1,1.89,500.9,312.57,1,0,0,31,1
493,1,1.9,636.6,314.84,1,0,0,45,1
494,3,1.9,275.7,315.36,3,0,0,22,0
495,7,1.93,437.9,316.48,2,1,0,28,0
496,2,1.93,612.8,317.92,2,0,0,40,1
497,3,1.94,590.7,317.37,3,0,0,36,1
498,2,1.95,387.6,319.01,2,0,0,28,0
499,4,1.94,684.8,319.79,4,0,0,31,1
500,0,1.94,5.6,319.03,0,0,0,11,0
501,1,1.95,179.8,318.32,1,0,0,21,0
502,1,1.95,205.9,316.65,1,0,1,25,0
503,2,1.96,136.4,317.01,2,0,1,25,0
504,1,1.96,550.7,319.03,1,0,0,38,1
505,1,1.96,70.9,318.42,1,0,1,16,0
506,3,1.97,83.9,316.28,3,0,1,19,0
507,1,1.97,246.7,316.15,1,0,0,23,0
508,0,1.95,66.6,313.66,0,0,0,13,0
509,0,1.95,19.7,313.24,0,0,1,19,0
510,4,1.96,430.5,315.0,4,0,0,29,0
511,1,1.96,292.3,316.37,1,0,0,23,0
512,1,1.97,389.3,317.03,1,0,0,26,1
513,2,1.98,184.4,317.91,2,0,0,21,0
514,2,1.97,340.5,316.87,2,0,0,24,0
515,6,2.0,290.7,316.23,1,1,0,27,0
516,0,1.99,378.2,316.8,0,0,0,36,0
517,1,1.99,523.5,318.48,1,0,0,34,0
518,0,1.99,-54.2,317.93,0,0,1,11,0
519,1,1.99,377.4,318.71,1,0,0,26,1
520,1,1.99,186.4,317.88,1,0,0,25,0
521,4,1.99,572.0,317.36,4,0,0,25,1
522,3,2.0,425.1,318.73,3,0,0,24,0
523,2,1.98,179.8,317.68,2,0,1,23,0
524,2,1.98,371.7,317.56,2,0,0,24,0
525,2,1.99,477.8,319.78,2,0,0,24,1
526,0,1.97,-51.1,318.27,0,0,1,12,0
527,0,1.97,76.2,316.72,0,0,1,22,0
528,3,1.98,309.7,316.93,3,0,0,23,0
529,1,1.94,314.7,316.67,1,0,0,31,0
530,2,1.95,115.2,317.71,2,0,0,13,0
531,1,1.94,383.2,317.14,1,0,0,26,0
532,1,1.94,387.3,317.72,1,0,0,35,0
533,0,1.94,430.9,318.13,0,0,0,35,0
534,3,1.95,628.1,319.33,3,0,0,32,1
535,3,1.96,176.2,319.72,3,0,0,15,0
536,0,1.95,384.9,318.89,0,0,0,31,0
537,2,1.96,237.5,318.69,2,0,0,18,0
538,3,1.97,262.0,317.84,3,0,1,25,0
539,1,1.95,602.3,317.58,1,0,0,34,1
540,8,1.97,776.8,320.22,3,1,0,29,1
541,0,1.97,395.9,320.56,0,0,0,22,0
542,1,1.97,413.0,319.91,1,0,0,32,0
543,2,1.97,259.0,318.7,2,1,1,23,0
544,2,1.94,214.3,317.91,2,0,1,26,0
545,0,1.93,134.7,315.86,0,0,1,27,0
546,0,1.91,321.9,314.94,0,0,1,31,0
547,2,1.91,214.1,313.27,2,0,1,27,0
548,7,1.94,739.4,317.19,2,1,0,51,1
549,2,1.95,255.4,316.27,2,0,0,23,0
550,3,1.95,189.4,315.41,3,0,1,24,0
551,1,1.95,208.8,314.64,1,0,0,21,0
552,2,1.95,761.2,317.61,2,0,0,43,1
553,11,2.0,767.7,318.92,1,2,0,33,1
554,1,2.0,610.6,320.97,1,0,0,35,0
555,1,2.0,79.6,321.03,1,0,0,9,0
556,7,2.02,571.2,322.55,2,1,0,25,1
